source,target,type
n1,n46,LIVES_ON
n1,n2,LOVES
n1,n3,WORKS_WITH
n1,n5,ADOPTED
n1,n4,RELATED_TO
n1,n62,CREATED
n1,n63,CREATED
n1,n72,FOUNDED
n1,n73,FOUNDED
n1,n7,ADVISED_BY
n1,n8,EXILED_BY
n1,n6,WORKS_FOR
n36,n39,CREATED_BY
n36,n49,ORIGINATES_FROM
n36,n37,FRIENDS_WITH
n36,n42,PARTNERS_WITH
n36,n67,FOLLOWS
n36,n1,GUIDES
n36,n7,IS_ALIAS
n36,n32,MERGES_WITH
n37,n48,LIVES_ON
n37,n38,LOVES
n37,n44,WORKS_FOR
n37,n45,WORKS_WITH
n37,n75,INSPIRES
n38,n50,ORIGINATES_FROM
n38,n49,LIVES_ON
n38,n43,LOVES
n39,n49,LIVES_ON
n39,n40,RIVALS_WITH
n39,n41,RELATED_TO
n39,n42,OWNS
n42,n67,CREATED
n42,n36,TRANSFERS_MIND_TO
n41,n42,UNINTENTIONALLY_UPGRADES
n43,n39,CREATED_BY
n9,n47,LIVES_ON
n9,n72,LEADS
n9,n11,WORKS_WITH
n9,n54,DEFEATS
n13,n9,DEFEATED_BY
n10,n53,ORIGINATES_FROM
n10,n47,LIVES_ON
n10,n72,LEADS
n14,n46,LIVES_ON
n14,n71,SERVES
n14,n16,SERVES
n14,n15,ADVISED_BY
n14,n17,WORKS_WITH
n14,n72,ATTACKS
n16,n14,RECALLS_AND_EXECUTES
n17,n16,SERVES
n18,n51,ORIGINATES_FROM
n18,n52,RULES
n18,n72,CONQUERED
n18,n64,PLAYS
n18,n19,LOVES
n18,n22,CONVERTS
n18,n23,SEARCHES_FOR
n19,n47,LIVES_ON
n19,n20,MARRIED_TO
n19,n21,KILLS
n19,n18,DEFEATS
n19,n24,RELATED_TO
n21,n73,DISCOVERS_LOCATION_OF
n22,n18,SERVES
n23,n73,WORKS_FOR
n23,n18,DECEIVES
n24,n47,LIVES_ON
n24,n25,RELATED_TO
n25,n68,INVENTED
n25,n26,DEFEATS
n26,n73,WORKS_FOR
n27,n52,VISITS
n28,n73,LEADS
n28,n24,MANIPULATES
n29,n47,ORIGINATES_FROM
n29,n30,TRAVELS_WITH
n29,n31,TRAVELS_WITH
n29,n35,EXILED_BY
n29,n48,SEARCHES_FOR
n29,n51,CHOOSES
n30,n48,SEARCHES_FOR
n30,n31,LOVES
n31,n51,PART_OF
n32,n50,ORIGINATES_FROM
n33,n51,WORKS_FOR
n34,n73,LEADS
n34,n33,ACCOMPANIED_BY
n35,n72,LEADS
n46,n71,CAPITAL_OF
n47,n72,CAPITAL_OF
n49,n74,CAPITAL_OF
n48,n75,ORIGIN_OF
n70,n72,CREATED_BY
n63,n73,USED_BY
n65,n36,COMPONENT_OF
n65,n42,COMPONENT_OF
n65,n43,COMPONENT_OF
n65,n2,COMPONENT_OF
n65,n7,COMPONENT_OF
n76,n37,WORKS_WITH
n76,n77,KILLS
n77,n44,WORKS_FOR
n78,n36,CREATED
n78,n48,MURDERED_ON
n79,n37,MARRIED_TO
n80,n82,MURDERED
n80,n81,RELATED_TO
n82,n38,MARRIED_TO
n84,n40,WORKS_FOR
n84,n86,INVENTED
n86,n48,USED_ON
n85,n87,ORIGINATES_FROM
n85,n38,HELPS
n88,n48,LIVES_ON
n88,n89,WORKS_WITH
n90,n48,RULES
n91,n97,INVESTIGATES
n92,n97,SERVES
n93,n95,LIVES_ON
n94,n93,HELPS
n96,n95,RULES
n98,n9,RIVALS_WITH
n99,n98,NEGOTIATES_WITH
n100,n10,RIVALS_WITH
n101,n100,WORKS_FOR
n102,n10,RELATED_TO
n103,n17,BRIBES
n104,n10,HELPS
n18,n105,IS_ALIAS
n106,n73,WORKS_FOR
n106,n107,MANIPULATES
n107,n72,ATTACKS
n108,n24,WORKS_WITH
n109,n7,OPPOSES
n110,n36,IS_ALIAS
n110,n1,GUIDES
n111,n6,KILLS
n112,n1,WORKS_WITH
n116,n1,KIDNAPS
n117,n29,NEGOTIATES_WITH
n118,n31,KILLED_BY
n119,n36,CREATED_BY
n121,n29,MEETS
n29,n122,PILOTS
n126,n71,CREATED
n126,n65,CREATED
n138,n49,ALLIED_WITH
n128,n48,ORIGINATES_FROM
n148,n72,SERVES
n139,n49,ALLIED_WITH
n129,n48,ORIGINATES_FROM
n149,n72,SERVES
n140,n49,ALLIED_WITH
n130,n48,ORIGINATES_FROM
n150,n72,SERVES
n141,n49,ALLIED_WITH
n131,n48,ORIGINATES_FROM
n151,n72,SERVES
n142,n49,ALLIED_WITH
n132,n48,ORIGINATES_FROM
n152,n72,SERVES
n143,n49,ALLIED_WITH
n133,n48,ORIGINATES_FROM
n153,n72,SERVES
n144,n49,ALLIED_WITH
n134,n48,ORIGINATES_FROM
n154,n72,SERVES
n145,n49,ALLIED_WITH
n135,n48,ORIGINATES_FROM
n155,n72,SERVES
n146,n49,ALLIED_WITH
n136,n48,ORIGINATES_FROM
n156,n72,SERVES
n147,n49,ALLIED_WITH
n137,n48,ORIGINATES_FROM
n157,n72,SERVES
n29,n7,INFLUENCES
n63,n58,MENTIONS
n27,n141,RELATES_TO
n153,n109,RELATES_TO
n8,n24,MENTIONS
n60,n131,STUDIES
n7,n145,MENTIONS
n141,n108,MENTIONS
n115,n152,INFLUENCES
n2,n41,KNOWS
n88,n72,MENTIONS
n56,n87,RELATES_TO
n24,n98,RELATES_TO
n92,n89,STUDIES
n68,n12,KNOWS
n139,n32,KNOWS
n21,n143,INFLUENCES
n93,n149,MENTIONS
n18,n12,MENTIONS
n75,n21,MENTIONS
n26,n98,INFLUENCES
n117,n94,MENTIONS
n95,n91,MENTIONS
n69,n19,STUDIES
n44,n138,MENTIONS
n42,n119,KNOWS
n70,n144,MENTIONS
n84,n15,MENTIONS
n9,n81,KNOWS
n69,n17,MENTIONS
n147,n81,MENTIONS
n129,n102,KNOWS
n37,n68,MENTIONS
n64,n145,STUDIES
n68,n151,KNOWS
n151,n103,INFLUENCES
n57,n36,STUDIES
n128,n24,RELATES_TO
n29,n40,MENTIONS
n109,n154,RELATES_TO
n99,n98,STUDIES
n120,n137,INFLUENCES
n143,n3,RELATES_TO
n139,n69,INFLUENCES
n29,n76,KNOWS
n41,n117,RELATES_TO
n68,n130,MENTIONS
n131,n28,INFLUENCES
n131,n157,MENTIONS
n40,n96,MENTIONS
n140,n137,RELATES_TO
n155,n83,KNOWS
n5,n29,INFLUENCES
n79,n62,RELATES_TO
n62,n147,RELATES_TO
n22,n125,RELATES_TO
n138,n33,MENTIONS
n122,n142,MENTIONS
n68,n137,STUDIES
n109,n55,STUDIES
n52,n80,KNOWS
n96,n113,STUDIES
n116,n31,MENTIONS
n58,n17,INFLUENCES
n6,n152,STUDIES
n59,n152,MENTIONS
n2,n19,RELATES_TO
n59,n18,RELATES_TO
n85,n19,STUDIES
n61,n72,KNOWS
n55,n140,MENTIONS
n148,n149,KNOWS
n63,n122,KNOWS
n49,n25,RELATES_TO
n111,n91,KNOWS
n106,n120,RELATES_TO
n26,n16,KNOWS
n87,n28,MENTIONS
n50,n49,STUDIES
n115,n36,KNOWS
n47,n72,KNOWS
n64,n20,KNOWS
n142,n26,RELATES_TO
n140,n4,RELATES_TO
n61,n43,KNOWS
n125,n124,MENTIONS
n103,n16,MENTIONS
n98,n1,KNOWS
n68,n117,INFLUENCES
n109,n144,KNOWS
n40,n49,INFLUENCES
n56,n15,STUDIES
n140,n16,INFLUENCES
n15,n13,STUDIES
n123,n130,STUDIES
n41,n15,STUDIES
n21,n48,RELATES_TO
n154,n18,MENTIONS
n104,n31,STUDIES
n64,n150,STUDIES
n11,n21,KNOWS
n151,n146,STUDIES
n81,n67,MENTIONS
n81,n62,INFLUENCES
n102,n34,INFLUENCES
n118,n81,RELATES_TO
n3,n118,STUDIES
n146,n26,RELATES_TO
n139,n55,STUDIES
n68,n34,INFLUENCES
n18,n63,INFLUENCES
n73,n41,KNOWS
n141,n78,STUDIES
n137,n3,STUDIES
n77,n27,MENTIONS
n68,n30,RELATES_TO
n143,n40,INFLUENCES
n73,n156,MENTIONS
n88,n53,INFLUENCES
n131,n126,INFLUENCES
n14,n24,KNOWS
n71,n12,RELATES_TO
n86,n34,INFLUENCES
n42,n114,STUDIES
n110,n145,RELATES_TO
n29,n20,MENTIONS
n141,n10,INFLUENCES
n151,n143,MENTIONS
n111,n33,RELATES_TO
n79,n94,RELATES_TO
n92,n54,MENTIONS
n27,n91,STUDIES
n105,n40,MENTIONS
n42,n46,KNOWS
n7,n46,INFLUENCES
n106,n64,INFLUENCES
n41,n28,KNOWS
n10,n121,MENTIONS
n52,n118,INFLUENCES
n79,n59,MENTIONS
n7,n50,KNOWS
n85,n72,RELATES_TO
n72,n90,STUDIES
n103,n139,INFLUENCES
n8,n30,INFLUENCES
n46,n150,INFLUENCES
n10,n28,STUDIES
n112,n89,INFLUENCES
n112,n157,STUDIES
n30,n99,STUDIES
