id,label,type,icon,donut,planet,category,description,published
n1,Hari Seldon,Person,Person,100,Trantor,Psychohistorian,"The father of Psychohistory and founder of the two Foundations. He spent his life on Trantor developing the mathematical laws that predict the future of human society. Appears in: Prelude to Foundation, Forward the Foundation, Foundation.",
n2,R. Daneel Olivaw,Robot,Android,100,Aurora,Eternal Guardian,"An ancient humaniform robot who has protected humanity for nearly 20,000 years. He operates under the Zeroth Law. Appears in: The Caves of Steel, The Naked Sun, The Robots of Dawn, Robots and Empire, Prelude to Foundation, Foundation and Earth.",
n3,Elijah Baley,Person,Person,100,Earth,Detective,"A Plainclothesman from Earth who partnered with R. Daneel Olivaw to solve critical murders on Spacer worlds, eventually helping humanity spread to the stars once more. Appears in: The Caves of Steel, The Naked Sun, The Robots of Dawn.",
n4,The Mule,Mutant,Psychology,100,Gaia,Conqueror,"A genetic mutant with the mental power to adjust the emotions of others. He nearly destroyed the Seldon Plan by conquering the Foundation before his eventual defeat. Appears in: Foundation and Empire, Second Foundation.",
n5,Salvor Hardin,Person,Person,100,Terminus,Mayor,"The first Mayor of Terminus, who famously said 'Violence is the last refuge of the incompetent'. He navigated the Foundation through its first two Seldon Crises. Appears in: Foundation.",
n6,Trantor,Planet,Public,100,None,Empire Capital,"The heart of the Galactic Empire. An ecumenopolis covered by metal domes, housing 40 billion people until its Great Sack and eventual decay into a farming world. Appears in: Prelude to Foundation, Foundation, Second Foundation.",
n7,Terminus,Planet,Public,100,None,First Foundation,"A small, resource-poor planet at the edge of the galaxy. Chosen by Hari Seldon as the home of the Encyclopedists, it grew into the First Foundation. Appears in: Foundation series.",
n8,Prime Radiant,Item,AutoStories,100,None,Technology,"A device designed by Hari Seldon and Yugo Amaryl to project and manipulate the mathematical equations of Psychohistory. Held by the Second Foundation. Appears in: Second Foundation, Forward the Foundation.",
n9,Psychohistory,Science,Science,100,None,Science,"A mathematical sociology developed by Hari Seldon, capable of predicting the future behavior of vast populations based on statistical mechanics. Appears in: Foundation series.",
n10,Gaia,Planet,Public,100,None,Superorganism,"A planet where everything—people, animals, plants, and inanimate objects—shares a collective consciousness. Created with the guidance of R. Daneel Olivaw. Appears in: Foundation's Edge, Foundation and Earth.",
n11,Aurora,Planet,Public,100,None,Spacer World,"The first and most powerful of the fifty Spacer worlds. It had a culture heavily dependent on robots and a lifespan spanning centuries. Appears in: The Robots of Dawn, Robots and Empire.",
n12,The Second Foundation,Entity,Science,100,Trantor,Organization,"A secret organization established by Hari Seldon at 'Star's End' to subtly guide the First Foundation and ensure the success of the Seldon Plan using mentalic powers. Appears in: Second Foundation, Foundation's Edge.",
n13,Galactic Empire,Entity,Science,100,Trantor,Organization,"The interstellar empire encompassing twenty-five million planets and quadrillions of humans, which ruled the galaxy for twelve thousand years before its inevitable collapse. Appears in: Foundation series, Empire series.",
n14,Hober Mallow,Person,Person,100,Smyrno,Master Trader,"The first of the Master Traders and eventually Mayor of Terminus. He resolved a Seldon Crisis using economic pressure rather than religion or politics. Appears in: Foundation.",
n15,Bayta Darell,Person,Person,100,Terminus,Hero,"The only person who managed to outwit The Mule. By killing Ebling Mis before he could reveal the location of the Second Foundation, she saved the galaxy. Appears in: Foundation and Empire.",
n16,Visi-Sonor,Item,AutoStories,100,None,Instrument,"A complex musical instrument that directly stimulates the visual and auditory centers of the brain. Magnifico (The Mule) was a master of it. Appears in: Foundation and Empire.",
n17,Solaria,Planet,Public,100,None,Spacer World,"The fiftieth and most extreme Spacer world. Its inhabitants isolated themselves on vast estates, interacting only holographically, and created hermaphroditic, telekinetic humans. Appears in: The Naked Sun, Foundation and Earth.",
