id,label,type,icon,donut,planet,category,description,published,importance
n1,Hari Seldon,Person,Person,100,Trantor,Psychohistorian,The father of Psychohistory and founder of the two Foundations. Spent his life on Trantor predicting the future of human society.,,0.95
n2,Dors Venabili,Robot,Android,80,Trantor,Protector,A humaniform robot tasked by R. Daneel Olivaw to protect Hari Seldon. She became his wife and constant companion.,,0.2
n3,Yugo Amaryl,Person,Person,85,Trantor,Mathematician,A heatsinker from Dahl who became Hari Seldon's greatest mathematical collaborator and the driving force behind the Prime Radiant.,,0.21
n4,Wanda Seldon,Person,Person,70,Trantor,Mentalic,Hari Seldon's granddaughter and a powerful mentalic. She was instrumental in the creation of the Second Foundation.,,0.14
n5,Raych Seldon,Person,Person,60,Trantor,Security,Hari Seldon's adopted son from the Billibotton sector. An expert fighter and loyal protector of the Seldon family.,,0.13
n6,Cleon I,Person,Person,75,Trantor,Emperor,"The Galactic Emperor during Hari Seldon's early career. Relied heavily on his First Minister, Eto Demerzel.",,0.18
n7,Eto Demerzel,Robot,Android,95,Trantor,First Minister,An alias used by R. Daneel Olivaw to influence the Galactic Empire and protect Hari Seldon.,,0.34
n8,Linge Chen,Person,Person,80,Trantor,Commissioner,The Chief Commissioner of Public Safety who effectively ruled the Empire and exiled Seldon to Terminus.,,0.17
n9,Salvor Hardin,Person,Person,90,Terminus,Mayor,The first Mayor of Terminus. Navigated the Foundation through its first two Seldon Crises without resorting to violence.,,0.34
n10,Hober Mallow,Person,Person,85,Smyrno,Master Trader,The first Merchant Prince. He used economics and trade rather than religion to expand the Foundation's power.,,0.44
n11,Poly Verisof,Person,Person,50,Terminus,Ambassador,High Priest of the Foundation's scientism religion and ambassador to Anacreon.,,0.14
n12,Lord Dorwin,Person,Person,40,Trantor,Aristocrat,"An imperial diplomat who visited Terminus, known for speaking without actually saying anything of substance.",,0.17
n13,Wienis,Person,Person,50,Anacreon,Regent,The power-hungry Prince Regent of Anacreon who attempted to conquer the Foundation.,,0.14
